final_title,combined_features
Sky Captain and the World of Tomorrow,Mystery Action Thriller Science Fiction Adventure london england himalaya journalist killer robot computer war robot
Basic Instinct 2,Crime Mystery Thriller male nudity sex legs soho london playing god jacuzzi
Escape Plan,Action Thriller prison muslim ship mystery science fiction escape crime prison escape cia agent
The Legend of Hercules,Action Adventure mythology zeus ancient greece demigod city of argos mistaken parentage
The Sum of All Fears,Thriller Action Drama cia terrorist atomic bomb cold war nuclear explosion jack ryan
The Twilight Saga: Eclipse,Adventure Fantasy Drama Romance vampire graduation bite immortality werewolf fang vamp
The Score,Action Crime Thriller quebec jewel scepter customs house jewelry heist blueprint assumed identity schematic voice over surveillance camera one last job
Despicable Me,Animation Family adoptive father orphanage life's dream rivalry stealing ballet little girl orphan father daughter relationship tomboy mother son relationship intelligent kids evil doctor duringcreditsstinger minions supervillain 3d despicable cattivissimo
Money Train,Action Comedy Crime brother brother relationship subway new york city new york subway train robbery
Ted 2,Comedy sperm bank sequel buddy courthouse teddy bear aftercreditsstinger toy comes to life married
Agora,Adventure Drama History christianity philosophy egypt new love war cult historical figure history sword fight ancient world destiny fall in love hypatia misogyny persecution library of alexandria political unrest impossible love false history power relations unfulfillment master and servant love and romance unfulfilled love
Mystery Men,Adventure Fantasy Action Comedy Science Fiction bowling hostage sphinx training insane asylum tools frankenstein casanova superhero based on comic book independent film comedy spoof skull shovel disco superhero spoof invisible man dark horse comics invisibility rajah bowling ball spleen evil genius
Hall Pass,Comedy wife husband relationship daydream marriage freedom friends
The Insider,Drama Thriller spy newspaper research interview tobacco insider conspiracy theory reporter whistleblower columbia broadcasting system (cbs) tobacco industry
The Finest Hours,Action Drama History Thriller coast guard based on true story survival rescue mission storm at sea sinking ship 1950s 3d
Body of Lies,Action Drama Thriller terror falsely accused based on novel dying and death jordan dubai intelligence agency beating
Dinner for Schmucks,Comedy mouse idiot mind control taxidermy aftercreditsstinger duringcreditsstinger
Abraham Lincoln: Vampire Hunter,Action Fantasy Horror usa president vampire steam locomotive american civil war 19th century abraham lincoln 3d
Entrapment,"Romance Drama Mystery london england new year's eve skyscraper burglar distrust undercover blackmail nudity thief heist older man younger woman relationship art thief criminal art theft millennium manhattan, new york city gala kuala lumpur malaysia"
The X Files,Mystery Science Fiction Thriller bomb helicopter secret obsession extraterrestrial technology fbi space marine mutation secret society secret organization secret lab x-files government
The Last Legion,Action Adventure Fantasy War roman empire emperor ancient rome western roman empire ancient world julius caesar
Saving Private Ryan,Drama History War war crimes self sacrifice war veteran world war ii war ship airplane bravery normandy parachute troops waffen ss omaha beach army cowardice american flag war memorial deserted town military 1940s
Need for Speed,Action Crime Drama Thriller street race super cars super speed car based on video game duringcreditsstinger 3d
What Women Want,Comedy Romance women telepathy supernatural powers advertising executive woman director
Ice Age,Animation Comedy Family Adventure human evolution parents kids relationship squirrel ice loss of child mammoth sloth dying and death stone age prehistoric saber-toothed tiger cavemen prehistoric creature prehistoric adventure prehistoric times prehistoric man
Dreamcatcher,Drama Horror Science Fiction Thriller religion and supernatural
Lincoln,History Drama usa president speech battlefield family conflict mourning american civil war cultural conflict based on true events battle of gettysburg secession presidential cabinet gettysburg address conflagration ethical dilemma emancipation abraham lincoln
The Matrix,Action Science Fiction saving the world artificial intelligence man vs machine philosophy prophecy martial arts self sacrifice fight insurgence virtual reality dystopia truth cyberpunk woman director messiah gnosticism
Apollo 13,Drama moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident
The Santa Clause 2,Fantasy Comedy Family holiday christmas party home santa claus magic toy wish son sequel saving christmas christmas
Les Misérables,Drama Music Romance france robbery brothel mayor star musical arrest army rebellion wedding falling in love corpse parole convict girl disguised as boy
You've Got Mail,Comedy Romance romantic comedy online dating woman director
Step Brothers,Comedy becoming an adult autonomy childhood trauma hostility step brother slacker man child aftercreditsstinger duringcreditsstinger
The Mask of Zorro,Action Adventure california spy hero horseback riding sword fight revenge
Due Date,Comedy Drama highway slacker hitchhiker wallet sunglasses rest stop vicodin waffle
Unbroken,Drama War world war ii prisoners of war biography sport war athlete woman director olympic athlete
Space Cowboys,Action Adventure Thriller nasa space travel astronaut elderly
Cliffhanger,Action Adventure Thriller rocky mountains airplane hijacking suitcase climbing heist money snow mountain climbing mountain
Broken Arrow,Action Adventure Drama Thriller helicopter river captain underground mexican standoff countdown pilot fistfight canyon major betrayal gunfight train explosion park ranger desert military nuclear device boxing stealth aircraft abandoned mine humvee
The Kid,Fantasy Comedy Family age difference midlife crisis suppressed past self-awareness childhood memory humor changing the past or future
World Trade Center,Drama History Thriller terror runaway alarm clock hero firemen fire engine war on terror rescue marine hospital trapped rubble rescue team
Mona Lisa Smile,Drama Romance faculty art history rowing school nurse femininity teacher hero womens issues
The Dictator,Comedy kurdish
Eyes Wide Shut,Mystery Drama life and death sexual obsession free love heterosexual christmas party eroticism orgy masked ball marijuana illegal prostitution
Annie,Comedy Drama Family musical orphan foster child
Focus,Romance Comedy Crime Drama seduction con man femme fatale deception rivalry con artist
This Means War,Action Comedy Romance love triangle friendship dating sushi bar exploding airplane online dating stable karate class dog shelter
Blade: Trinity,Science Fiction Action Horror Thriller Adventure Fantasy fbi dracula fistfight vampire hunter superhero based on comic book martial arts master motorcycle katana sword blade loss of friend super villain vampire slayer fast motion scene female vampire
Red Dawn,Action Thriller guerrilla colorado invasion anti-communism near future red army
Primary Colors,Comedy Drama white house usa president presidential election scandal george w. bush extramarital affair
Resident Evil: Retribution,Action Horror Science Fiction mutant dystopia sequel conspiracy tokyo japan zombie based on video game moscow hand to hand combat virus plague pandemic mega corporation
Death Race,Action Thriller Science Fiction car race dystopia matter of life and death prison guard car set on fire escape from prison exploding building vehicle combat car crash violence
The Long Kiss Goodnight,Crime Action Mystery Thriller assassination amnesia hostage chase dark comedy teacher escape single mother timebomb candlelight vigil rogue agent street shootout ex cia agent christmas parade
Proof of Life,Action Adventure Drama Romance Thriller hostage new love suspense agent
Zathura: A Space Adventure,Family Fantasy Science Fiction Adventure adventure house alien giant robot outer space astronaut
Fight Club,Drama support group dual identity nihilism rage and hate insomnia dystopia violence
We Are Marshall,Drama american football 1970s trainer college sport
Hudson Hawk,Action Adventure Comedy vatican leonardo da vinci painting master thief
Lucky Numbers,Action Adventure Comedy Crime Romance Thriller weather forecast tv station weather lottery wettermann debt woman director
"I, Frankenstein",Horror Thriller soul queen anti hero fantasy prince supernatural frankenstein good vs evil gargoyles fighting demon dark imax 3d
Oliver Twist,Crime Drama Family london england child abuse street gang runaway child labour children's home orphanage thief violence good and bad child
Elektra,Action Fantasy martial arts based on comic book female assassin spin off
Sin City: A Dame to Kill For,Crime Thriller detective dystopia dominatrix murder suspense twins based on graphic novel dark horse comics neo-noir 3d
Random Hearts,Drama Romance infidelity politician airplane crash death death of husband police sergeant death of wife
Everest,Adventure Drama mountains snow storm hiking climbing snow death blizzard mountain climbing based on true events mount everest 3d
Perfume: The Story of a Murderer,Crime Fantasy Drama paris female nudity prostitute small town obsession orgy bad smell nudity lone wolf lavender nose child prodigy fish market daughter supernatural genius children's home death perfume
Austin Powers in Goldmember,Comedy Crime Science Fiction saving the world submarine brother brother relationship clone spy helicopter gold submachine gun asteroid undercover belgium dutch car journey nightclub laser sumo ringer family history auto clowning overweight man conciliation james bond spoof duringcreditsstinger
Astro Boy,Animation Action Family Science Fiction superhero
Jurassic Park,Adventure Science Fiction exotic island dna paleontology tyrannosaurus rex triceratops brontosaurus electric fence island dinosaur amusement park theme park jurassic park
Wyatt Earp,Drama Action Western gunslinger gambling sheriff deputy sheriff wretch wyatt earp historical figure doc holliday
Clear and Present Danger,Action Drama Thriller assassination spy ambush cia helicopter based on novel usa president sniper fbi colombia drug traffic bomber mission of murder mercenary insurgence coast guard spying war car bomb drug cartel conspiracy shootout infantry violence jack ryan political cover-up
Dragon Blade,Action Drama Adventure 
Little Man,Comedy Crime baby adoption married couple small person criminal
U-571,Action Drama Thriller War submarine world war ii north atlantic mission
The American President,Comedy Drama Romance white house usa president new love widower wildlife conservation
The Love Guru,Comedy Romance sport ice hockey guru comedy bollywood india spiritualist broken heart self-help stanley cup chastity ashram expert
3000 Miles to Graceland,Action Adventure Comedy Thriller Crime casino submachine gun hold-up robbery elvis reference to elvis presley duringcreditsstinger
The Hateful Eight,Crime Drama Mystery Western bounty hunter wyoming mountains narration hangman stagecoach blizzard post civil war
Blades of Glory,Action Comedy Drama competition olympic games sport rivalry ice skating
Hop,Animation Comedy Family coup d'etat slacker easter easter bunny aftercreditsstinger live action and animation
300,Action Adventure War evisceration javelin shield army fall from height ancient world s.a.t. minions
Meet the Fockers,Comedy Romance cia parents kids relationship florida anti-authoritarian upbringing jew parents-in-law orderly just married sex therapy bad father-in-law family illegitimate son
Marley & Me,Comedy Family journalist based on novel puppy dog duringcreditsstinger columnist animal lead
The Green Mile,Fantasy Drama Crime southern usa black people mentally disabled based on novel heal death row jail guard great depression prison guard electric chair magic realism healing death row inmate 1930s
Wild Hogs,Action Adventure Comedy midlife crisis road trip politically incorrect motorcycle gang biker film awkwardness travel writer middle age middle aged man
Chicken Little,Animation Family Comedy fish small town space marine chicken alien best friend alien invasion animal duringcreditsstinger 3d
Gone Girl,Mystery Thriller Drama based on novel marriage crisis disappearance cheating husband missing person search party criminal lawyer wife murder murder suspect missing wife
The Bourne Identity,Action Drama Mystery Thriller paris barcelona spain assassin based on novel secret identity amnesia sniper passport mission of murder lovers escape shootout foot chase cell phone car chase multiple identities surveillance camera hamburg germany fishing boat langley virginia safe deposit box flashback hand to hand combat
GoldenEye,Adventure Action Thriller cuba falsely accused secret identity computer virus secret base secret intelligence service kgb satellite special car cossack electromagnetic pulse time bomb st. petersburg russia ejection seat red army
The General's Daughter,Crime Drama Mystery Thriller suicide detective based on novel bondage general paranoia nudity u.s. army investigation politics cover-up murder betrayal conspiracy gang rape father daughter relationship videotape military law
The Truman Show,Comedy Drama claustrophobia hidden camera dystopia reality show make believe pretend
The Prince of Egypt,Adventure Animation Drama Family Music moses egypt pyramid exodus kingdom governance ancient egypt hebrew pharaoh woman director
Daddy Day Care,Comedy Family competition success kindergarten children unemployment
2 Guns,Action Comedy Crime undercover undercover agent based on comic book money fugitive bank robbery dea agent
Cats & Dogs,Comedy Family fight governance puppy allergy 3d
The Italian Job,Action Crime venice california train station helicopter austria mountains gold subway hacker chase safe remake caper revenge murder heist double crossed fast cars boat chase los angeles explosion convict father daughter relationship car chase tv news hollywood sign television repair mini cooper
Two Weeks Notice,Romance Comedy new york parish hall romantic comedy lawyer billionaire environmental law
Antz,Adventure Animation Comedy Family general hero worker ant work assignment war princess soldier individuality friend
Couples Retreat,Comedy Romance island married couple yoga tahiti couples therapy beautiful woman tropical aftercreditsstinger duringcreditsstinger french polynesia polynésie française
Days of Thunder,Adventure stock-car-race daytona car crash
Cheaper by the Dozen 2,Comedy holiday lake big family father labor pain rivalry family holiday
Maze Runner: The Scorch Trials,Action based on novel resistance maze post-apocalyptic dystopia infection on the run escape zombie storm disease desert sewer antidote corporation virus runner city ruin immunity
Eat Pray Love,Drama indonesia female protagonist india divorce bali
The Family Man,Comedy Drama Romance Fantasy workaholic second chance guardian angel christmas career vs family life reprioritizing
RED,Action Adventure Comedy Crime Thriller cia retirement shot to death sniper rifle retired female spy alarm
Any Given Sunday,Drama american football trainer training american football coach sport american football stadium
The Horse Whisperer,Drama Romance love triangle new york montana attachment to nature confidence horseback riding horse riding accident career woman ranch horse whisperer trauma country life marriage crisis crisis travel mother daughter relationship animal nature
Collateral,Drama Crime Thriller california taxi assassin hostage taxi driver fbi hitman police los angeles murderer crime criminal gun violence
The Scorpion King,Action Fantasy Adventure egypt temple
Ladder 49,Drama Action Thriller ledge practical joke
Jack Reacher,Crime Drama Thriller based on novel sniper investigation police quarry
Deep Blue Sea,Action Science Fiction Thriller shark attack shark alzheimer's disease killer shark no opening credits
This Is It,Music Documentary pop star music concert aftercreditsstinger duringcreditsstinger
Contagion,Drama Thriller Science Fiction saving the world mutation infection terminal illness quarantine outbreak medical vaccine lethal virus scientist epidemic
Kangaroo Jack,Comedy Adventure Crime money delivery fool australia hoodlum kangaroo
Coraline,Animation Family dream eye stuffed animal parallel world button new home secret door aftercreditsstinger duringcreditsstinger
The Happening,Thriller Science Fiction tree natural disaster crisis park strange behavior
Man on Fire,Action Drama Thriller Crime mexico cia kidnapping diary bible bodyguard stuffed animal cell phone alcoholic grenade launcher bloodshed swim meet
The Shaggy Dog,Comedy Family father son relationship parents kids relationship workaholic wife husband relationship transformation body exchange daughter lawyer dog family turns into animal
Starsky & Hutch,Comedy Crime informant jumping from a rooftop surveillance footage
Jingle All the Way,Family Comedy holiday christmas party santa claus toy puppet christmas turboman navidad
Hellboy,Fantasy Action Science Fiction black magic fistfight cover-up superhero paranormal phenomena narration from grave demon occult combat photography reanimated corpse duringcreditsstinger
A Civil Action,Drama success advancement right and justice leukemia lawyer business start-up
ParaNorman,Family Animation Adventure Comedy medium stop motion curse jock ghost communicating with the dead aftercreditsstinger dealing with the past witch trial child witch empathy strange
The Jackal,Action Thriller Adventure Crime fbi cold war hitman
Paycheck,Action Adventure Mystery Science Fiction Thriller prophecy engineer scientist millionaire
Up Close & Personal,Drama Romance miami television career vitamin b reporter
The Tale of Despereaux,Adventure Animation Family loyalty totalitarian regime mouse forgiveness honor unlikely friendship courage chivalry animal lead
The Tuxedo,Thriller Action Comedy Science Fiction bomb intelligence chauffeur wound secret agent head injury
Under Siege 2: Dark Territory,Action Thriller terrorist pentagon satellite navy seal train
Jack Ryan: Shadow Recruit,Action Drama Thriller london england corruption cia terrorist sniper explosive intelligence russia murder conspiracy surveillance agent jack ryan u.s. marine rehab analyst
Joy,Drama Comedy factory inventor strong woman biography based on true story stolen patent
London Has Fallen,Action Crime Thriller london england terrorist terrorist attack
Alien: Resurrection,Science Fiction Horror Action android mercenary dystopia sequel alien betrayal impalement cloning scientist flamethrower disembowelment smuggler gene manipulation man in wheelchair breeding genetic engineering regeneration xenomorph alien queen explosive decompression swimming underwater
Shooter,Action Drama Mystery Thriller Crime corruption sniper senator conspiracy of murder childlessness rifle sniper rifle fbi agent
The Boxtrolls,Animation Comedy Family Fantasy based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger
Practical Magic,Drama Fantasy Comedy witch magic sorcery love curse family curse
The Lego Movie,Adventure Animation Comedy Family Fantasy father son relationship creativity friendship part live action toys based on toy falling in love super powers duringcreditsstinger different worlds lego batman
Miss Congeniality 2: Armed and Fabulous,Action Comedy ransom press conference ship miss america fbi agent
Reign of Fire,Adventure Action Fantasy dragon evolution fire chief animated map theatre audience dragonslayer tunnel construction fire repellent drilling iodine
Gangster Squad,Crime Drama Action Thriller los angeles gangster
Year One,Comedy Adventure temple slavery stone age circumcision hebrews cavemen prehistoric adventure duringcreditsstinger prehistoric times prehistoric man
Invictus,Drama History stadium south africa apartheid nelson mandela sport nation rugby president racism poverty celebration duringcreditsstinger
State of Play,Action corruption assassination detective journalist assassin newspaper congress editor-in-chief conspiracy of murder politics election campaign government murder thriller blog reporter
Duplicity,Romance Comedy Crime spy
My Favorite Martian,Comedy Drama Family Science Fiction alien martian based on tv series fish out of water
The Sentinel,Action Thriller Crime usa president agent
Planet 51,Science Fiction Animation Family Comedy Adventure flying saucer alien life-form spaceship alien alien planet planet duringcreditsstinger
Star Trek: Nemesis,Science Fiction Action Adventure Thriller clone assassination ambush federation starfleet enterprise-e romulus android senate self sacrifice telepathy weapon romulans space opera
Intolerable Cruelty,Crime Comedy Romance california assassin infidelity fetish hitman tycoon court satire lawyer inheritance divorce
Trouble with the Curve,Drama Romance women baseball pitcher home run aging sport talent-scout cigar smoking poor eyesight boston red sox draft motel room baseball scout failing eyesight blurry vision blurred sight
Edge of Darkness,Crime Drama Mystery Thriller murder violence death of daughter homicide detective
The Relic,Horror Mystery Thriller chicago based on novel monster museum pile of dead bodies god dead body anthropologist indian tribe amazon jungle
Analyze That,Comedy Crime prison gold therapist gangster
Righteous Kill,Action Crime Drama Thriller revenge murder plot twist dirty cop
Mercury Rising,Action Crime Drama Thriller assassin loss of family autism fbi bangkok national security agency (nsa) boy child in peril fbi agent autistic savant
The Soloist,Drama newspaper cello musical violin los angeles
The Legend of Bagger Vance,Fantasy Drama competition world war i great depression caddy savannah
Almost Famous,Drama Music hotel room san diego drug addiction stewardess overdose groupie music journalist black sabbath rock concert swimming pool based on true story promiscuity coming of age on the road domineering mother reconciliation semi autobiographical innocence lost bus trip aspiring writer
Garfield: A Tail of Two Kitties,Animation Comedy Family london england cat mistake in person luxury wretch nobility garfield
xXx: State of the Union,Action Adventure Crime Drama Mystery Thriller washington d.c. helicopter usa president general coup d'etat military prison coup agent insurgent secretary of defense potus
Priest,Action Science Fiction Fantasy Thriller Horror vampire crucifixion post-apocalyptic dystopia vampire hunter disobey niece dark hero
Sinbad: Legend of the Seven Seas,Family Animation Adventure prince water monster
Event Horizon,Horror Science Fiction Mystery space marine nudity nightmare hallucination cryogenics space travel black hole insanity delusion crew alternate dimension evil spirit hellgate religion explosion violence burning man rescue team flashback supernatural power trapped in space distress signal derelict ship
Dragonfly,Drama pregnancy and birth voice dragonfly car crash jungle hospital doctor humanitarian spiritism
The Black Dahlia,Drama pornography observer los angeles murder hunt
Flyboys,Action Adventure Drama History Romance War world war i biplane
The Last Castle,Action Drama Thriller prison general
Supernova,Horror Science Fiction Thriller black people starships future star supernova blast
Winter's Tale,Drama Fantasy Mystery Romance based on novel
The Mortal Instruments: City of Bones,Action Adventure Drama Mystery Romance Fantasy angel vampire werewolf warlock downworlder shadowhunter demon hunter based on young adult novel
Meet Dave,Comedy Science Fiction Adventure Family new york captain starships new love earth friendship crew car crash space alien survival planet duringcreditsstinger
Dark Water,"Drama Horror Thriller based on novel water remake teacher divorce apartment ghost manhattan, new york city"
Edtv,Comedy tv show tv station simulated reality  reality tv tv star tv ratings
Inkheart,Adventure Family Fantasy book fairy tale eavesdropping adventure writer's block
The Spirit,Action Comedy Thriller Crime Science Fiction secret identity robber mask frog based on comic strip back from the dead
Mortdecai,Comedy Adventure based on novel painting debt art dealer stolen painting
In the Name of the King: A Dungeon Siege Tale,Adventure Fantasy Action Drama fictional place monster loss of family new love hero love of one's life magic fairy tale villain kingdom enchantment bad power son heir to the throne motherly love wizardry revenge royalty family based on video game medieval
Beyond Borders,Drama Romance Adventure War london england cia landmine love of one's life cambodia ethiopia chechnya foreign aid
The Monkey King 2,Action Adventure Fantasy monkey king
The Great Raid,Action History War based on novel world war ii prisoners of war narration archive footage rescue mission soldier 1940s inspired by true events fictionalized history
Deadpool,Action Adventure Comedy anti hero mercenary marvel comic superhero based on comic book breaking the fourth wall aftercreditsstinger duringcreditsstinger self healing
Holy Man,Drama Comedy salesclerk television tv ratings guru television producer
American Sniper,War Action sniper biography iraq navy seal u.s. soldier
Goosebumps,Adventure Horror Comedy based on novel magic fantasy werewolf family ventriloquist dummy book comes to life 3d
Just Like Heaven,Comedy Fantasy Romance coma based on novel workaholic flirt architect romantic comedy ghost landscape architect
The Flintstones in Viva Rock Vegas,Science Fiction Comedy Family Romance waitress marriage proposal flirt stone age best friend dinosaur
Rambo III,Action Adventure Thriller War competition submachine gun soviet union liberation russian soviet troops thailand freedom fighter afghanistan war on freedom machinegun mujahid reality show western japanese food soap opera
Leatherheads,Comedy Romance Drama american football sports team stadium hero success sponsorship police games coach woman reporter the big game
The Ridiculous 6,Comedy Western wild west
Did You Hear About the Morgans?,Comedy witness protection comedy duringcreditsstinger
The Internship,Comedy job interview loss of job intern reference to google new job laid off transamerica pyramid
Resident Evil: Afterlife,Action Adventure Horror Science Fiction post-apocalyptic dystopia undead biohazard evil corporation resident evil zombie based on video game duringcreditsstinger 3d
Red Tails,Drama Action Adventure History War world war ii fighter pilot fighter plane
The Devil's Advocate,"Drama Horror Mystery Thriller child abuse southern usa obsession subway nudity bible seduction hallucination ambition devil's son marriage crisis pact with the devil crooked lawyer evil spirit satan religion lust courtroom temptation law firm manhattan, new york city seven deadly sins ethics gainesville florida"
That's My Boy,Comedy deadbeat dad cheating fiancée teacher student sex brother sister incest
DragonHeart,Fantasy magic kingdom despot immortality village forest army horror partner revenge knight battle medieval dragonheart
After the Sunset,Action Comedy Crime Drama bahamas master thief crook couple
Ghost Rider: Spirit of Vengeance,Action Fantasy Thriller monk eastern europe skeleton biker marvel comic superhero motorcycle devil dark hero ghost rider
Captain Corelli's Mandolin,Drama History Romance officer greek island mandolin italian soldier resistance fighter greek history italian army allied forces
The Pacifier,Action Comedy Drama Family Thriller bodybuilder children body guard scientist family u.s. soldier death of husband male nanny
Walking Tall,Adventure Drama Action Thriller casino sheriff home violence special forces ex soldier
Forrest Gump,Comedy Drama Romance vietnam veteran hippie mentally disabled running based on novel vietnam vietnam war friendship love family relationships bully mother son relationship military hugging shrimping wounded soldier flashback park bench amputee
Alvin and the Chipmunks,Comedy Music Family Fantasy Animation pop pop star record producer surprise approach forest music concert friendship performance chipmunk talking animal songwriter talking to animals duringcreditsstinger
Meet the Parents,Comedy Romance cia airport cat jew orderly airplane father-in-law epistaxis daughter lost baggage urn pavilion volleyball hospital wedding
Pocahontas,Adventure Animation Drama Family culture clash settler forbidden love colony musical gold rush princess romance native american animation virginia star crossed lovers reference to pizarro jamestown virginia pug dog cross cultural relationship musket animate tree indian chief based on folk tale 17th century shamanism songs indians vs. settlers animal sidekick powhatan land claim
Superman,Action Adventure Fantasy Science Fiction saving the world journalist dc comics crime fighter nuclear missile galaxy superhero based on comic book criminal sabotage north pole midwest kryptonite super powers superhuman strength aftercreditsstinger save the day
The Nutty Professor,Fantasy Comedy Romance Science Fiction overweight overweight man duringcreditsstinger
Hitch,Comedy Drama Romance speed date romantic comedy dating
George of the Jungle,Adventure Comedy Family Romance africa san francisco gorilla lion feral child jungle
American Wedding,Comedy Romance handcuffs sister sister relationship spanner blow job stag night wedding
Captain Phillips,Action Drama Thriller ship hijacking somalia fisherman blood poverty pirate terrorism commando hijack cargo ship ship captain ship hijacking somali commando unit
Date Night,Comedy date corruption taxi expensive restaurant wife husband relationship gun boat taxi driver document restaurant roof married couple politician stripper shooting thief car crash stealing mistaken identity police corruption aftercreditsstinger duringcreditsstinger
Casper,Fantasy Comedy Family halloween friendship supernatural afterlife friends danger ghost disorder young heroes imaginary supernatural ability mischievous children
The Equalizer,Thriller Action Crime corruption assassin hostage fbi hitman russian security camera sadism vigilante sociopath revenge suspense organized crime gore gangster violence teenage prostitute commando interrogation surveillance ex soldier faked death loner call girl black ops hand to hand combat mysterious past
Maid in Manhattan,Comedy Drama Romance hotel politician mistaken identity maid class differences single mother public relations maid uniform hotel clerk wealth differences
Crimson Tide,Action Thriller Drama submarine mutiny russia missile nuclear missile embassy u.s. navy battle for power torpedo military moral dilemma post cold war aircraft carrier chain of command launch code sonar
The Pursuit of Happyness,Drama san francisco single parent homeless person bus worker homelessness work church service bad luck biography salesman stockbroker
Flightplan,Thriller Drama Mystery berlin loss of father airplane baby-snatching
Disclosure,Drama Thriller Crime Mystery Romance employee workplace sexual harassment intrigue
City of Angels,Drama Fantasy Romance suicide angel life and death desperation operation heaven faith afterlife los angeles interspecies romance
Kill Bill: Vol. 1,Action Crime japan coma martial arts kung fu underworld yakuza sword bride revenge gore female yakuza blood wedding samurai sword part animation
Bowfinger,Comedy film producer film director movie studio hollywood filmmaking movie actress
Kill Bill: Vol. 2,Action Crime Thriller brother brother relationship swordplay katana mother role rage and hate daughter right and justice single aftercreditsstinger duringcreditsstinger
Tango & Cash,Action Adventure Comedy prisoner war on drugs los angeles
Death Becomes Her,Fantasy Comedy jealousy beauty immortality rivalry potion drinking
Shanghai Noon,Adventure Action Comedy Western princess sioux travel rescue native american chinese cowboy duringcreditsstinger 19th century
Executive Decision,Action Adventure Drama Thriller bomb ransom hostage airplane hijacking terror cell special unit deception rescue covert operation disaster shootout terrorism explosion violence surveillance night vision goggles flight attendant intelligence agent flashback hand to hand combat nerve gas
Mr. Popper's Penguins,Comedy Family taxi restaurant zoo penguin ex husband little boy zookeeper doorman ride bird hatching aftercreditsstinger duringcreditsstinger
The Forbidden Kingdom,Action Adventure Fantasy tempel shaolin teenager urination staff warrior monkey king
Free Birds,Animation Comedy Family holiday thanksgiving freedom duringcreditsstinger 3d
Alien³,Science Fiction Action Horror prison android spacecraft space marine imprisonment space colony space travel rottweiler dystopia sequel alien redemption outer space planet shaved head crash landing impregnation penal colony furnace suspended animation xenomorph
Evita,History Drama Music prostitute deification dancehall hostess perónism argentine president rise to power singing narrator soccer ball
Ronin,Action Thriller Crime Adventure paris france arms deal audi impostor case violence ice skating computer expert ex kgb preparation hit with a car door cellular phone trace merry go round
The Ghost and the Darkness,Adventure africa lion bridge based on true story kenya animal attack lion attack colonialism swahili
Paddington,Family Comedy england train station based on novel bear anthropomorphism talking to animals children's book
The Watch,Comedy usa sterility castration marriage friendship alien suburb alien invasion death teenage daughter neighborhood watch creepy neighbor
The Hunted,Drama Action Thriller Crime hunter fbi knife balkan war woods psychopathic killer slaughter survivalist maniac special forces killing spree combat ex soldier dark past manhunt gory violence
Instinct,Drama Mystery Thriller prison gorilla research instinct murder psychologist
Stuck on You,Comedy sex dancer martial arts cook stripper love bully hollywood twins flashback freak actor anxiety conjoined siamese
Semi-Pro,Comedy sport basketball flint michigan nba merger trade garbage can canon ramp championship dead parent
The Pirates! In an Adventure with Scientists!,Animation Adventure Family Comedy rivalry stop motion pirate aftercreditsstinger duringcreditsstinger
Changeling,Crime Drama Mystery corruption mother nudity minister power public government police reunion murder conspiracy los angeles missing mother love criticism
Chain Reaction,Action Drama Science Fiction Thriller fbi hydrogen bomb secret lab energy supply conspiracy aftercreditsstinger
The Fan,Drama Mystery Thriller sport luck san francisco giants child custody baseball pitcher baseball fan psychotic fan sports agent driving range steam room
The Phantom of the Opera,Thriller Drama Romance dancing obsession auction wheelchair rose product placement musical remake tragic villain black and white rooftop heroine disfigured face based on stage musical theater disfigurement mask breaking mirror opera singer 1910s
Elizabeth: The Golden Age,Drama History Romance england assassination spain virgin colony governance queen elizabeth i religious war tudors execution middle ages catholicism sea battle palace intrigue
Æon Flux,Action Science Fiction martial arts dystopia surrealism based on cartoon shootout espionage infertility cyberpunk extreme violence sabotage one against many woman director hand to hand combat action heroine human cloning 25th century
Gods and Generals,Drama History War war battle union soldier confederate soldier american civil war secession
Turbulence,Action Thriller Crime stewardess airplane shootout air marshal christmas turbulence
Imagine That,Comedy 
Muppets Most Wanted,Comedy Adventure Crime Family musical the muppets
Thunderbirds,Action Adventure Comedy Family Fantasy Science Fiction secret organization based on tv series golden gate bridge locker oil rig  teenage hero soaked clothes thunderbirds
Burlesque,Drama Romance musical los angeles burlesque burlesque dancer
A Very Long Engagement,Drama paris prostitute loss of lover amnesia bodily disabled person world war i wheelchair brittany lighthouse verdun lighthouse keeper    teenage crush disappearance soldier illegal prostitution private detective missing person polio trenches
Lolita,Drama Romance sexual obsession hotel depression loss of mother small town flirt midlife crisis eroticism youngster lolita motel diary seduction forbidden love professor for literature provocation fascination one-sided love widow adoptive father loss of husband summer camp secret love
D-Tox,Action Thriller alcoholism serial killer hospital police officer detox
Blade II,Fantasy Horror Action Thriller katana mutation vampire silver superhero tragic villain broken neck lasersight violence exploding body blade subjective camera torso cut in half reaper broken wrist razor blade shot through a door sword duel burnt face
Seven Pounds,Drama vegetarian tax collector pianist blind organ transplant blood type
Bullet to the Head,Action Crime Thriller 
The Godfather: Part III,Crime Drama Thriller italy christianity new york assassination italo-american vatican pope confession helicopter daughter lawyer
Elizabethtown,Comedy Drama Romance suicide hotel room suicide attempt new love funeral airplane lovers falling in love
"You, Me and Dupree",Comedy Romance roommate love of one's life newlywed
